OMEGA,AMPL
1.000000000000000000e+00,2.646742925492511986e-02
9.999500000000000055e-01,9.023613502377227091e-02
9.999000000000000110e-01,8.274794481648728439e-02
9.998500000000000165e-01,8.026658502185288202e-02
9.998000000000000220e-01,8.167532796894280689e-02
9.997500000000000275e-01,8.209674259697362364e-02
9.997000000000000330e-01,8.263774227268529116e-02
9.996500000000000385e-01,8.319045295002099050e-02
9.996000000000000441e-01,8.374791763574661319e-02
9.995500000000000496e-01,8.431775417118193838e-02
9.995000000000000551e-01,8.489910006537200460e-02
9.994500000000000606e-01,8.549348272394625969e-02
9.994000000000000661e-01,8.610204372587643151e-02
9.993500000000000716e-01,8.672627380592258517e-02
9.993000000000000771e-01,8.736800567443234189e-02
9.992500000000000826e-01,8.802956254278490600e-02
9.992000000000000881e-01,8.871390554710445464e-02
9.991500000000000936e-01,8.942480226134287558e-02
9.991000000000000991e-01,9.016701193210911736e-02
9.990500000000001046e-01,9.094647700022479020e-02
9.990000000000001101e-01,9.177049883517128526e-02
9.989500000000001156e-01,9.264786208501656073e-02
9.989000000000001211e-01,9.359284942286484610e-02
9.988500000000001267e-01,9.463007343816470796e-02
9.988000000000001322e-01,9.575629945854127745e-02
9.987500000000001377e-01,9.698346234988614034e-02
9.987000000000001432e-01,9.832194749467559891e-02
9.986500000000001487e-01,9.977875197822183573e-02
9.986000000000001542e-01,1.013553120801498481e-01
9.985500000000001597e-01,1.030453431825033017e-01
9.985000000000001652e-01,1.048332609656674880e-01
9.984500000000001707e-01,1.066939018042671050e-01
9.984000000000001762e-01,1.085941909313641041e-01
9.983500000000001817e-01,1.104969974331172361e-01
9.983000000000001872e-01,1.123666734821959917e-01
9.982500000000001927e-01,1.141749420836273288e-01
9.982000000000001982e-01,1.159053257017799432e-01
9.981500000000002037e-01,1.175546181958820185e-01
9.981000000000002093e-01,1.191310407445080877e-01
9.980500000000002148e-01,1.206501128326706307e-01
9.980000000000002203e-01,1.221300764458571747e-01
9.979500000000002258e-01,1.235963283860988526e-01
9.979000000000002313e-01,1.250658320744310603e-01
9.978500000000002368e-01,1.265389982641561828e-01
9.978000000000002423e-01,1.280255759177569286e-01
9.977500000000002478e-01,1.295332874299705284e-01
9.977000000000002533e-01,1.310682799949945132e-01
9.976500000000002588e-01,1.326355137934386030e-01
9.976000000000002643e-01,1.342390765324180668e-01
9.975500000000002698e-01,1.358824372562678073e-01
9.975000000000002753e-01,1.375686424305966882e-01
9.974500000000002808e-01,1.393531821994433428e-01
9.974000000000002863e-01,1.411858277936496042e-01
9.973500000000002919e-01,1.430684419926987749e-01
9.973000000000002974e-01,1.450037861154567786e-01
9.972500000000003029e-01,1.469947415934919344e-01
9.972000000000003084e-01,1.490443997011151878e-01
9.971500000000003139e-01,1.511561481647859528e-01
9.971000000000003194e-01,1.533337649404623582e-01
9.970500000000003249e-01,1.555815126064189480e-01
9.970000000000003304e-01,1.579042372998882005e-01
9.969500000000003359e-01,1.603074686833567963e-01
9.969000000000003414e-01,1.627975160673307553e-01
9.968500000000003469e-01,1.653815514821443955e-01
9.968000000000003524e-01,1.680676705313974284e-01
9.967500000000003579e-01,1.708649170800808914e-01
9.967000000000003634e-01,1.737832467474641762e-01
9.966500000000003689e-01,1.768334179167672937e-01
9.966000000000003745e-01,1.800267779375996913e-01
9.965500000000003800e-01,1.833749336766618276e-01
9.965000000000003855e-01,1.869040478724565690e-01
9.964500000000003910e-01,1.906128545367281324e-01
9.964000000000003965e-01,1.945079633231683869e-01
9.963500000000004020e-01,1.985958522474451926e-01
9.963000000000004075e-01,2.028799042705844435e-01
9.962500000000004130e-01,2.073597448231470353e-01
9.962000000000004185e-01,2.120307836386148004e-01
9.961500000000004240e-01,2.168840550923180621e-01
9.961000000000004295e-01,2.219064371434248673e-01
9.960500000000004350e-01,2.270812640991774489e-01
9.960000000000004405e-01,2.323892948128099545e-01
9.959500000000004460e-01,2.378099314402044029e-01
9.959000000000004515e-01,2.433225250386510108e-01
