OME,AMPL
9.9172252e-01,7.3079139e-01
9.9176880e-01,7.2635587e-01
9.9181591e-01,7.2185488e-01
9.9186384e-01,7.1719919e-01
9.9191255e-01,7.1247328e-01
9.9196203e-01,7.0760040e-01
9.9201226e-01,7.0265274e-01
9.9206321e-01,6.9756576e-01
9.9211487e-01,6.9239965e-01
9.9216721e-01,6.8710179e-01
9.9222021e-01,6.8172065e-01
9.9227386e-01,6.7621525e-01
9.9232812e-01,6.7062264e-01
9.9238297e-01,6.6491316e-01
9.9243840e-01,6.5911274e-01
9.9249439e-01,6.5320275e-01
9.9255090e-01,6.4719831e-01
9.9260793e-01,6.4109149e-01
9.9266545e-01,6.3488695e-01
9.9272343e-01,6.2858709e-01
9.9278187e-01,6.2218646e-01
9.9284073e-01,6.1569745e-01
9.9290000e-01,6.0910487e-01
9.9295966e-01,6.0243072e-01
9.9301970e-01,5.9565043e-01
9.9308008e-01,5.8879523e-01
9.9314081e-01,5.8183158e-01
9.9320186e-01,5.7479954e-01
9.9326321e-01,5.6765697e-01
9.9332485e-01,5.6045238e-01
9.9338677e-01,5.5313546e-01
9.9344895e-01,5.4576271e-01
9.9351139e-01,5.3827609e-01
9.9357407e-01,5.3073966e-01
9.9363699e-01,5.2308810e-01
9.9370014e-01,5.1539256e-01
9.9376352e-01,5.0758092e-01
9.9382712e-01,4.9973093e-01
9.9389094e-01,4.9176415e-01
9.9395498e-01,4.8376445e-01
9.9401925e-01,4.7564758e-01
9.9408376e-01,4.6750301e-01
9.9414852e-01,4.5924118e-01
9.9421354e-01,4.5095664e-01
9.9427884e-01,4.4255508e-01
9.9434444e-01,4.3413558e-01
9.9441038e-01,4.2559960e-01
9.9447667e-01,4.1705020e-01
9.9454337e-01,4.0838521e-01
9.9461052e-01,3.9971105e-01
9.9467816e-01,3.9092253e-01
9.9474637e-01,3.8212884e-01
9.9481521e-01,3.7322237e-01
9.9488476e-01,3.6431443e-01
9.9495511e-01,3.5529887e-01
9.9502639e-01,3.4627884e-01
9.9509869e-01,3.3715972e-01
9.9517218e-01,3.2803323e-01
9.9524701e-01,3.1881605e-01
9.9532335e-01,3.0958890e-01
9.9540144e-01,3.0027921e-01
9.9548151e-01,2.9095730e-01
9.9556385e-01,2.8156070e-01
9.9564879e-01,2.7214998e-01
9.9573670e-01,2.6267216e-01
9.9582805e-01,2.5317867e-01
9.9592334e-01,2.4362536e-01
9.9602320e-01,2.3405520e-01
9.9612835e-01,2.2443219e-01
9.9623968e-01,2.1479153e-01
9.9635823e-01,2.0510468e-01
9.9648526e-01,1.9539979e-01
9.9662233e-01,1.8565503e-01
9.9677134e-01,1.7589226e-01
9.9693468e-01,1.6609563e-01
9.9711535e-01,1.5628150e-01
9.9731720e-01,1.4643923e-01
9.9754524e-01,1.3658050e-01
9.9780608e-01,1.2669921e-01
9.9810869e-01,1.1680326e-01
9.9846550e-01,1.0689048e-01
9.9889422e-01,9.6966314e-02
9.9942097e-01,8.7032521e-02
1.0000859e+00,7.7094728e-02
1.0009540e+00,6.7161853e-02
1.0021363e+00,5.7250836e-02
1.0038376e+00,4.7405416e-02
1.0064602e+00,3.7746058e-02
1.0102412e+00,2.9522468e-02
1.0153861e+00,2.3144973e-02
1.0213623e+00,1.8820058e-02
1.0273800e+00,1.6061332e-02
1.0330520e+00,1.4252968e-02
1.0400111e+00,1.2652697e-02
1.0484642e+00,1.1266115e-02
1.0583990e+00,1.0106883e-02
1.0683638e+00,9.2583498e-03
1.0783432e+00,8.6113300e-03
1.0883304e+00,8.1020325e-03
1.0983221e+00,7.6908875e-03
1.1083164e+00,7.3521084e-03
